TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
FUENTES,FUE_01_0109,"CENTRO, CALLE SANTA ISABEL, 47",C/V SANTA INÉS,40.4095051,-3.6959671
FUENTES,FUE_01_0110,"CENTRO, PASEO DEL PRADO, 8",C/V PLAZA DE LAS CORTES 6,40.4155886,-3.6948315
FUENTES,FUE_01_0111,"CENTRO, CALLE SAN AGUSTIN, 2",C/V CALLE PRADO,40.4153281,-3.6969334
FUENTES,FUE_01_0112,"CENTRO, CARRERA DE SAN JERÓNIMO, 21",Sin información adicional,40.416636,-3.6985023
FUENTES,FUE_01_0113,"CENTRO, CALLE VIRGEN DE LOS PELIGROS , 2",Sin información adicional,40.4181851,-3.6993679
FUENTES,FUE_01_0114,"CENTRO, CALLE ALMIRANTE, 1",Sin información adicional,40.4088482,-3.6954699
FUENTES,FUE_01_0115,"CENTRO, CALLE ALCALA, 45",Sin información adicional,40.4272429,-3.6728706
FUENTES,FUEP_01_06_0051,"CENTRO, JARDINES DE SABATINI",A. 1 · PLATAFORMA,40.4204798,-3.7137624
FUENTES,FUEP_01_07_0052,"CENTRO, JARDINES DE LA PLAZA DE ORIENTE",A. 3 · LEPANTO,40.41756,-3.7118915
FUENTES,FUEP_01_09_0004,"CENTRO, MADRID RÍO",Z.06. - VIRGEN DEL PUERTO,40.4168676,-3.7216504
FUENTES,FUEP_01_09_0008,"CENTRO, MADRID RÍO",Z.07. - ERMITA VIRGEN DEL PUERTO,40.4154456,-3.7221456
FUENTES,FB_XX_1,"CENTRO, JARDINES DE SABATINI",entrada a Sabatini por Plaza España,40.4215178,-3.7133316
FUENTES,FB_XX_2,"CENTRO, JARDINES DE SABATINI",entrada a Sabatini por Palacio,40.4204378,-3.7131315
FUENTES,FUE_02_0001,"ARGANZUELA, ED 3/3 MENDEZ ALVARO - DELICIAS",PLAZA DEL AMANECER EN MÉNDEZ ÁLVARO Nº3,40.399242,-3.6848763
FUENTES,FUE_02_0002,"ARGANZUELA, RAMIREZ DE PRADO",C/RAMIREZ DE PRADO Nº 5,40.3989978,-3.6873947
FUENTES,FUE_02_0003,"ARGANZUELA, Z.V. PUERTO DE  BEJAR",CALLE PUERTO DE BEJAR Nº 24,40.3886234,-3.6865894
FUENTES,FUE_02_0005,"ARGANZUELA, PARQUE DEL BRONCE PVF",C/BRONCE Nº 19,40.390326,-3.6874734
FUENTES,FUE_02_0007,"ARGANZUELA, PARQUE DE DELICIAS",C/PÀRROCO EUSEBIO CUENCA Nº 46,40.395487,-3.6883302
FUENTES,FUE_02_0009,"ARGANZUELA, PZA. LUCA DE TENA",PZA  LUCA DE TENA N º2,40.4020595,-3.6935279
FUENTES,FUE_02_0010,"ARGANZUELA, PZA  LUCA DE TENA N º13",JARDÍN DE PALESTINA,40.4020505,-3.6940827
FUENTES,FUE_02_0012,"ARGANZUELA, C/PALOS DE LA FRONTERA Nº 42 ",JARDÍN DE PALESTINA,40.4029032,-3.6947118
FUENTES,FUE_02_0013,"ARGANZUELA, C/CANARIAS Nº 22",JARDÍN DE PALESTINA,40.4022005,-3.6950381
FUENTES,FUE_02_0014,"ARGANZUELA, PZA. RUTILIO GACIS",PLAZA RUTILIO GACIS Nº 2,40.3942707,-3.696825
FUENTES,FUE_02_0015,"ARGANZUELA, PZA. PEÑUELAS",PLAZA DE LAS PEÑUELAS Nº 12,40.4010498,-3.702649
FUENTES,FUE_02_0016,"ARGANZUELA, PARQUE PEÑUELAS",PASEO ESPERANZA Nº 25 ,40.4010743,-3.7052867
FUENTES,FUE_02_0017,"ARGANZUELA, POL. DE YESERIAS FASES II Y III",PASEO YESERÍAS 25,40.3993583,-3.7076552
FUENTES,FUE_02_0019,"ARGANZUELA, JARDIN DEL RASTRO",CALLE CONCEJAL BENITO MARTÍN LOZANO 10,40.4054215,-3.7090263
FUENTES,FUE_02_0021,"ARGANZUELA, JARDIN MAESTRO PADILLA",C/SAN ALEJANDRO Nº 14,40.4043948,-3.7218641
FUENTES,FUE_02_0022,"ARGANZUELA, ACACIAS - PASILLO VERDE",C/ GASÓMETRO 26. DENTRO DEL PARQUE,40.4026585,-3.7082319
FUENTES,FUE_02_0023,"ARGANZUELA, ACACIAS - PASILLO VERDE",C/ GASÓMETRO 26. DENTRO DEL PARQUE,40.4026585,-3.7082319
FUENTES,FUE_02_0024,"ARGANZUELA, PARQUE IMPERIAL PVF",CALLE SANTA MARÍA LA REAL DE NIEVA N º16,40.404843,-3.7181203
FUENTES,FUE_02_0025,"ARGANZUELA, MED. C/ TOLEDO",Sin información adicional,40.4020631,-3.7585523
FUENTES,FUE_02_0027,"ARGANZUELA, MED. C/ TOLEDO",Sin información adicional,40.4061637,-3.7118895
FUENTES,FUE_02_0028,"ARGANZUELA, ED 2/8 VALDELASIERRA", C/VALDELASIERRA Nº 10,40.3973753,-3.7049079
FUENTES,FUE_02_0029,"ARGANZUELA, HIERRO - ANTRACITA",C/ DEL SODIO Nº 3,40.3894166,-3.6902372
FUENTES,FUE_02_0030,"ARGANZUELA, HIERRO - ANTRACITA",C/ DEL SODIO Nº 3,40.3891097,-3.6900594
FUENTES,FUE_02_0031,"ARGANZUELA, PARQUE ENRIQUE TIERNO GALVAN",Sin información adicional,40.3870597,-3.6834906
FUENTES,FUE_02_0033,"ARGANZUELA, PARQUE ENRIQUE TIERNO GALVAN",Sin información adicional,40.389133,-3.6814107
FUENTES,FUE_02_0034,"ARGANZUELA, PARQUE ENRIQUE TIERNO GALVAN",C/VILLARROBLEDO S/N,40.3860749,-3.6846907
FUENTES,FUE_02_0035,"ARGANZUELA, PARQUE MIRADOR TIERNO GALVAN PVF",C/NEBULOSAS N º2 ,40.3938613,-3.6847016
FUENTES,FUE_02_0037,"ARGANZUELA, PARQUE ENRIQUE TIERNO GALVAN",EN LACOTA. C/TITÁN Nº 2,40.3903443,-3.6818943
FUENTES,FUE_02_0038,"ARGANZUELA, PARQUE ENRIQUE TIERNO GALVAN",EN LA COTA. C/TITÁN Nº 2,40.3876895,-3.6846258
FUENTES,FUE_02_0039,"ARGANZUELA, PARQUE ENRIQUE TIERNO GALVAN,  Pº  CATALPAS JUNTO A LA FAROLA 594",Sin información adicional,40.3922232,-3.6857213
FUENTES,FUE_02_0040,"ARGANZUELA, PARQUE ENRIQUE TIERNO GALVAN",Sin información adicional,40.3927097,-3.6833884
FUENTES,FUE_02_0042,"ARGANZUELA, PARQUE DEL BRONCE PVF",C/ANTRACITA N º 51,40.3913984,-3.6866864
FUENTES,FUE_02_0045,"ARGANZUELA, JARDINES FERNANDO POO - TORRES MIRANDA","C/JAIME EL CONQUISTADOR Nº 6, JUNTO ZONA INFANTIL",40.3978708,-3.6981919
FUENTES,FUE_02_0046,"ARGANZUELA, JARDIN PARROCO SANCHEZ CAMARA ED 2-15",C/MORATINES Nº24,40.4017881,-3.7045037
FUENTES,FUE_02_0047,"ARGANZUELA, PARQUE PEÑUELAS",FRENTE EL Nº 31 DE PASEO ESPERANZA,40.4000401,-3.7059459
FUENTES,FUE_02_0048,"ARGANZUELA, CALLE DEL TEJO Nº 3",Sin información adicional,40.3966528,-3.6786521
FUENTES,FUE_02_0049,"ARGANZUELA, YESERIAS FRENTE Nº 29 FLA. 24-26",Sin información adicional,40.398553,-3.709006
FUENTES,FUE_02_0050,"ARGANZUELA, PASEO YESERIAS",FRENTE AL Nº15,40.3993984,-3.7107117
FUENTES,FUE_02_0052,"ARGANZUELA, AV. PALNETARIO, 11",EN ZONA VERDE CV CALLE MENESES,40.3936248,-3.6819368
FUENTES,FUE_02_0053,"ARGANZUELA, CALLE GRANITO, 20 ",CON VUELTA CALLE HIERRO,40.3934635,-3.6923876
FUENTES,FUE_02_0054,"ARGANZUELA, CALLE AGUILÓN,11",JUNTO A ZONA INFANTIL,40.3974616,-3.7003397
FUENTES,FUE_02_0055,"ARGANZUELA, CALLE EROS Nº 10",CV CALLE ARIEL,40.3932382,-3.6798104
FUENTES,FUE_02_0056,"ARGANZUELA, CALLE AMALTEA Nº 6",JUNTO ZONA INFANTIL,40.3949172,-3.6823618
FUENTES,FUE_02_0057,"ARGANZUELA, CALLE JACARANDA 13",C/V ALMEZ,40.3973938,-3.6792176
FUENTES,FUE_02_0058,"ARGANZUELA, PASEO DE YESERÍAS, 1",ZV JUNTO PISTA FRONTÓN,40.4007368,-3.7129266
FUENTES,FUE_02_0059,"ARGANZUELA, CALLE TOLEDO, 178",JARDINES DE CONCHA PIQUER,40.4020561,-3.7143668
FUENTES,FUE_02_0060,"ARGANZUELA, PASEO JUAN ANTONIO VALLEJO NÁJERA-BOTAS, 1",C/V GLORIETA SANTA MARÍA DE LA CABEZA,40.4009185,-3.6999534
FUENTES,FUE_02_0061,"ARGANZUELA, C/ VILLOSLADA Nº 9",PARQUE GIL IMÓN,40.4037155,-3.7111664
FUENTES,FUE_02_0062,"ARGANZUELA, TRAVESÍA DE SAN ISIDORO DE SEVILLA, 7-9 ","PASEO DE LOS OLMOS Nº 24,",40.4037155,-3.7111664
FUENTES,FUE_02_0063,"ARGANZUELA, CALLE PÁRROCO EUSEBIO CUENCA, FRENTE Nº 64 ",C/V ANTRACITA (PLANETARIO),40.3934609,-3.6876176
FUENTES,FUE_02_0064,"ARGANZUELA, PARQUE ENRIQUE TIERNO GALVAN, AV. PLANETARIO 18","Pº  CATALPAS JUNTO A LA FAROLA 594, ÁREA CANINA",40.3913401,-3.6858563
FUENTES,FUE_02_0065,"ARGANZUELA, CALLE MORENO NIETO,5",CV CALLE JUAN DUQUE 25 ,40.4117496,-3.7187215
FUENTES,FUEP_02_09_0010,"ARGANZUELA, MADRID RÍO",Z.10. - CEDEX MARGEN IZQUIERDO,40.4086277,-3.7213938
FUENTES,FUEP_02_09_0016,"ARGANZUELA, MADRID RÍO",Z.17. -  ARGANZUELA - ESQUELETO,40.3994346,-3.7112629
FUENTES,FUEP_02_09_0018,"ARGANZUELA, MADRID RÍO",Z.17. -  ARGANZUELA - ESQUELETO,40.3994329,-3.7112405
FUENTES,FUEP_02_09_0017,"ARGANZUELA, MADRID RÍO",Z.17. -  ARGANZUELA - ESQUELETO,40.3994329,-3.7112511
