,TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
164,Templos,Parroquia San Andrés Apóstol. Plaza San Andrés,PLAZA SAN ANDRES 1.0,TemplosIglesiasCatolicas,40.41208167798535,-3.710809418427343
167,Templos,Parroquia San Antonio del Retiro,CALLE DUQUE DE SESTO 9.0,TemplosIglesiasCatolicas,40.42265024486223,-3.677580444954178
171,Templos,Parroquia San Basilio el Grande,CALLE FERNANDO POO 36.0,TemplosIglesiasCatolicas,40.39664016587397,-3.7000118514466873
176,Templos,Parroquia San Bonifacio,CALLE BREMEN 2.0,TemplosIglesiasCatolicas,40.43730879570332,-3.664895800504482
181,Templos,Parroquia San Cristóbal y San Rafael,CALLE BRAVO MURILLO 39.0,TemplosIglesiasCatolicas,40.43687102700812,-3.7053499214546095
187,Templos,Parroquia San Estanislao de Kostka,CALLE DOCTOR ESQUERDO 97.0,TemplosIglesiasCatolicas,40.41612988636634,-3.6691606212970376
192,Templos,Parroquia San Fermín de los Navarros,PASEO EDUARDO DATO 10.0,MonumentosEdificiosArtisticos,40.432762649724616,-3.6925645066550974
195,Templos,Parroquia San Francisco de Borja,CALLE SERRANO 104.0,TemplosIglesiasCatolicas,40.43435256088428,-3.686386452413175
204,Templos,Parroquia San Ginés,CALLE ARENAL 13.0,MonumentosEdificiosArtisticos,40.4172817394189,-3.707026633033669
206,Templos,Parroquia San Hermenegildo y Santa María de la Cabeza,CALLE FOSFORO 4.0,TemplosIglesiasCatolicas,40.41095023248612,-3.7200255503796473
209,Templos,Parroquia San Ildefonso y Santos Justo y Pastor,CALLE COLON 16.0,TemplosIglesiasCatolicas,40.423869666394765,-3.701721486046927
215,Templos,Parroquia San Jerónimo el Real (Los Jerónimos),CALLE MORETO 4.0,TemplosIglesiasCatolicas,40.41435651796935,-3.690523026519969
218,Templos,Parroquia San José,CALLE ALCALA 43.0,MonumentosEdificiosArtisticos,40.419055521189584,-3.696669261049986
226,Templos,Parroquia San Juan Crisóstomo,CALLE DOMENICO SCARLATTI 2.0,TemplosIglesiasCatolicas,40.44159171777554,-3.716168248298193
229,Templos,Parroquia San Juan de la Cruz,PLAZA SAN JUAN DE LA CRUZ 2.0,TemplosIglesiasCatolicas,40.441098742710295,-3.693472605105085
232,Templos,Parroquia San Juan Evangelista,PLAZA VENECIA 1.0,TemplosIglesiasCatolicas,40.44119950769623,-3.662528719565154
234,Templos,Parroquia San León Magno,CALLE CONCEJAL BENITO MARTIN LOZANO 7.0,TemplosIglesiasCatolicas,40.40535678997568,-3.709605191437384
236,Templos,Parroquia San Lorenzo,CALLE DOCTOR PIGA 2.0,TemplosIglesiasCatolicas,40.40876400047908,-3.698988478197996
238,Templos,Parroquia San Luis de los Franceses,CALLE LAGASCA 89.0,TemplosIglesiasCatolicas,40.43210965495577,-3.684764262946089
239,Templos,Parroquia San Manuel y San Benito,CALLE ALCALA 83.0,MonumentosEdificiosArtisticos,40.420750218863205,-3.686031642144738
240,Templos,Parroquia San Marcos,CALLE SAN LEONARDO 10.0,MonumentosEdificiosArtisticos,40.42476160196848,-3.711161786351672
248,Templos,Parroquia San Millán y San Cayetano,CALLE EMBAJADORES 15.0,MonumentosEdificiosArtisticos,40.4094729629138,-3.7057888475454654
249,Templos,Parroquia San Nicolás de Bari. Personal de Habla Italiana,PLAZA SAN NICOLAS 6.0,MonumentosEdificiosArtisticos,40.41580351287492,-3.711860715651833
252,Templos,Parroquia San Patricio,CALLE ALEJANDRO GONZALEZ 12.0,TemplosIglesiasCatolicas,40.42954291579896,-3.662936103496482
265,Templos,Parroquia San Ricardo,CALLE GAZTAMBIDE 22.0,TemplosIglesiasCatolicas,40.43344115593366,-3.715502766339175
268,Templos,Parroquia San Sebastián,CALLE ATOCHA 39.0,TemplosIglesiasCatolicas,40.41351413044357,-3.701455018243193
273,Templos,Parroquia San Vicente Ferrer,CALLE IBIZA 43.0,TemplosIglesiasCatolicas,40.41824352982154,-3.672524774515708
278,Templos,Parroquia Santa Bárbara,CALLE GENERAL CASTA&amp;Ntilde;OS 2.0,MonumentosEdificiosArtisticos,40.42428879388528,-3.6940873878242177
283,Templos,Parroquia Santa Catalina de Siena,CALLE JUAN DE URBIETA 57.0,TemplosIglesiasCatolicas,40.40867560548655,-3.674124286973336
287,Templos,Parroquia Santa Cruz,CALLE ATOCHA 6.0,MonumentosEdificiosArtisticos,40.41461498641368,-3.7052543046190265
288,Templos,Parroquia Santa Elena,CALLE ORFILA 1.0,TemplosIglesiasCatolicas,40.42744270095028,-3.693350948021676
307,Templos,Parroquia Santa María del Monte Carmelo,CALLE AYALA 35.0,TemplosIglesiasCatolicas,40.42777344783278,-3.683314692639447
309,Templos,Parroquia Santa María del Pilar,CALLE REYES MAGOS 3.0,TemplosIglesiasCatolicas,40.41209963778029,-3.674177783981407
312,Templos,Parroquia Santa María del Silencio,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 18.0,TemplosIglesiasCatolicas,40.44648359531944,-3.701076340745981
319,Templos,Parroquia Santa María la Real de la Almudena,CALLE MAYOR 90.0,TemplosIglesiasCatolicas,40.41521400641528,-3.7142198546445178
326,Templos,Parroquia Santa Mónica,CALLE PRINCIPE DE VERGARA 87.0,TemplosIglesiasCatolicas,40.43628582493575,-3.679425614663357
328,Templos,Parroquia Santa Rita,CALLE GAZTAMBIDE 75.0,TemplosIglesiasCatolicas,40.4384630365298,-3.715373600997535
333,Templos,Parroquia Santa Teresa y Santa Isabel,GLORIETA PINTOR SOROLLA 2.0,TemplosIglesiasCatolicas,40.43508484912096,-3.699144252083392
336,Templos,Parroquia Santiago el Mayor y Nuestra Señora de las Cruces,CALLE SANTA CRUZ DE MARCENADO 11.0,TemplosIglesiasCatolicas,40.428666890728586,-3.708544382177693
337,Templos,Parroquia Santiago y San Juan Bautista,PLAZA SANTIAGO 24.0,MonumentosEdificiosArtisticos,40.41652094046158,-3.71082961411181
341,Templos,Parroquia Santísimo Cristo de la Salud,CALLE AYALA 12.0,TemplosIglesiasCatolicas,40.4278403038997,-3.688143159503323
342,Templos,Parroquia Santísimo Cristo de la Victoria,CALLE BLASCO DE GARAY 33.0,TemplosIglesiasCatolicas,40.43357200340626,-3.7116729107849338
345,Templos,Parroquia Santísimo Sacramento,CALLE ALCALDE SAINZ DE BARANDA 3.0,TemplosIglesiasCatolicas,40.41716819010977,-3.677527566891112
347,Templos,Parroquia Santo Cristo del Olivar,CALLE CAÑIZARES 4.0,TemplosIglesiasCatolicas,40.41311305755016,-3.701661239285269
351,Templos,Parroquia Santo Niño de Cebu,CALLE LUCIO DEL VALLE 4.0,TemplosIglesiasCatolicas,40.44009780260985,-3.7075286706134185
356,Templos,Parroquia Santos Inocentes,CALLE EMBAJADORES 209.0,TemplosIglesiasCatolicas,40.38711705327618,-3.690326402948042
362,Templos,Parroquia Virgen de La Paloma y San Pedro el Real,CALLE TOLEDO 98.0,TemplosIglesiasCatolicas,40.40814643301144,-3.71105876199766
363,Templos,Parroquia Virgen de La Providencia y San Cayetano,CALLE FERRER DEL RIO 18.0,TemplosIglesiasCatolicas,40.43445285030887,-3.671875680212725
372,Templos,Parroquia Virgen Peregrina,CALLE DIEGO DE LEON 36.0,TemplosIglesiasCatolicas,40.43469645569208,-3.681112701529585
374,Templos,Primer Monasterio de la Visitación (Las Salesas),CALLE SANTA ENGRACIA 20.0,TemplosIglesiasCatolicas,40.43023663253445,-3.696489663156585
375,Templos,Real Basílica Nuestra Señora de Atocha,CALLE JULIAN GAYARRE 1.0,TemplosIglesiasCatolicas,40.40572931570451,-3.683250455796072
376,Templos,Real Basílica San Francisco el Grande,CALLE SAN BUENAVENTURA 1.0,MonumentosEdificiosArtisticos,40.41084698628934,-3.714492963837602
377,Templos,Real Monasterio de la Encarnación,PLAZA ENCARNACION 1.0,MonumentosEdificiosArtisticos,40.4196839293774,-3.711560958403125
378,Templos,Real Monasterio de las Descalzas Reales,PLAZA DESCALZAS 3.0,MonumentosEdificiosArtisticos,40.4182401043926,-3.7062038988539383
379,Templos,Real Monasterio de Santa Isabel,CALLE SANTA ISABEL 48.0,MonumentosEdificiosArtisticos,40.409468201532654,-3.696232255860979
380,Templos,Real Oratorio del Caballero de Gracia,CALLE GRAN VIA 17.0,MonumentosEdificiosArtisticos,40.419825650016925,-3.700658667700744
383,Templos,Segundo Monasterio de la Visitación (Las Salesas),CALLE SAN BERNARDO 72.0,TemplosIglesiasCatolicas,40.42746721104701,-3.7061947752116815
384,Templos,Templo Eucarístico de San Martín de Tours,CALLE DESENGA&amp;Ntilde;O 26.0,TemplosIglesiasCatolicas,40.42121388940078,-3.704640115594696
385,Templos,Tercer Monasterio de la Visitación (Servidoras del Señor y de la Virgen de Matará),PASEO SAN FRANCISCO DE SALES 48.0,TemplosIglesiasCatolicas,40.44360221440594,-3.710744913298676
