Distrito,Apartado,Número de archivo,Situación Destino,Destino,Solar
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.477,CARRETERA DE LA DEHESA DE LA VILLA NUM 1,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR Y ZONA VERDE BÁSICA. DENTRO DE ESTA ZONA VERDEEXISTEN A SU VEZ UNA SERIE DE INSTALACIONES MUNICIPALES CALIFICADAS DE ZONA VERDE Y NO DEEQUIPAMIENTO QUE SON: -,,A- CENTRO EDUCATIVO ""CASA DEL ESCUDO"" (8887415VK3788H0001BJ). -,,B- CENTRODE INFORMACIÓN AMBIENTAL (8887423VK3788H0001LJ). -,,C-INSTITUTO MÉDICO MUNICIPAL ""FABIOLA DE MORA YARAGÓN"" (8887413VK3788H0001WJ). -,,VARIAS IDBS Y ZONA VERDE DE SERVICIO AL PARQUE INCLUIDAS EN LAZONA VERDE. -,,CANAL DE ISABEL II (CANAL QUE DISCURRE ATRAVESANDO LA ZONA VERDE) NO INVENTARIADOINCLUIDO EN LA ZONA VERDE (8887420VK3788H0001GJ) (PARTE DE LA FINCA REGISTRAL 23.194 DEL REGISTRO 26A NOMBRE DEL CANAL DE ISABEL II. POSIBLE DOBLE INMATRICULACIÓN). EN EL INTERIOR DE SU PERÍMETRO SEENCUENTRAN UBICADOS: CANTÓN DE LIMPIEZAS, VESTUARIO PARA EMPLEADOS DEL PARQUE (CANTÓN DE JARDINERÍA),IDB MÁRTIRES MARISTAS (PISTA DE BALONCESTO), IDB PIRINEOS (2 PISTAS DE BALONCESTO 3X3), PISTA DECHITO DEHESA DE LA VILLA ,INSTALACIÓN DEPORTIVA BÁSICA SAN FEDERICO (CAMPO DE FÚTBOL 11), SITA EN C/ALCALDE MARTÍN DE ALZAGA, 4 Y LA INSTALACIÓN DEPORTIVA BÁSICA ALCALDE MARTÍN ALZAGA (2 PISTAS DEBALONCESTO 3X3)Y UN EVACUATORIO SITUADO ENTRE EL INSTITUTO FABIOLA DE MORA Y ARAGÓN Y CAMINO DE LADEHESA DE LA VILLA.",568172.00 m2
LATINA,PARQUES Y JARDINES,300.414,CALLE DE LA INDUSTRIA,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,101.00 m2
LATINA,PARQUES Y JARDINES,300.415,CALLE DE LA INDUSTRIA,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,4459.14 m2
LATINA,PARQUES Y JARDINES,300.416,CALLE DE DOÑA URRACA NUM 17,"EN EL PGOUM-97 ESTÁ CALIFICADO DE DOTACIONAL VÍA PÚBLICA. EN SU PERÍMETRO SE ENCUENTRA UN QUIOSCO DEMÚSICA, SITUADO EN LA PLAZA HUARTE DE SAN JUAN, TRAVESÍA DE DOÑA URRACA, QUIOSCO PERMANENTE, ADSCRITOAL DISTRITO DE LATINA POR DECRETO DE 23 DE JULIO DE 2013 DE LA DELEGADA DEL ÁREA DE GOBIERNO DEECONOMÍA, HACIENDA Y ADMINISTRACIÓN PÚBLICA.",244.01 m2
LATINA,PARQUES Y JARDINES,300.418,CALLE DE DOÑA BERENGUELA NUM 12,EN EL PGOUM-97 ESTÁ CALIFICADO DE DOTACIONAL VÍA PÚBLICA.,245.65 m2
LATINA,PARQUES Y JARDINES,300.419,"CALLE CUART DE POBLET, FRENTE AL Nº 41",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. PARQUE URBANO. ES UNA PARCELA QUE FORMA PARTEDEL PARQUE DE LA CUÑA VERDE DE LATINA.,7965.75 m2
LATINA,PARQUES Y JARDINES,300.42,"CALLE DE CUART DE POBLET, FRENTE AL Nº 9",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. PARQUE URBANO. ES UNA PARCELA QUE FORMA PARTEDEL PARQUE DE LA CUÑA VERDE DE LATINA.,1086.22 m2
LATINA,PARQUES Y JARDINES,300.422,"CALLE DE LAS HIGUERAS, FRENTE AL NUM 11",ESTÁ CALIFICADO COMO DOTACIONAL VIA PÚBLICA SEGÚN PGOUM-97.,163.50 m2
LATINA,PARQUES Y JARDINES,300.423,"CALLE DE LAS HIGUERAS, FRENTE AL NUM 9",ESTÁ CALIFICADO COMO DOTACIONAL VIA PÚBLICA SEGÚN PGOUM-97.,151.50 m2
LATINA,PARQUES Y JARDINES,300.425,CALLE DE PABLO CASALS,"APARECE COMO DOTACIONAL EQUIPAMIENTO EDUCATIVO EN EL PGOUM97. COINCIDE CON PARCELA PMS 3.205TRANSMITIDA AL INVENTARIO GENERAL DE BIENES, SI BIEN SEGÚN ACTA DE CESIÓN GRATUITA DE TERRENOS SUDESTINO ES ZONA VERDE.",1552.80 m2
