,TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
565,Monumentos,Nebrija,Pº Recoletos 20,Estatua,40.4238170374952,-3.6901217052513657
566,Monumentos,Neptuno,Pza Cánovas del Castillo N/A o N/D,"Fuente, Estanque, Lámina de agua",40.41525229259981,-3.6941595352879695
567,Monumentos,Newton y dolmen de Dalí,Pza Dalí N/A o N/D,Grupo Escultórico,40.42392495645377,-3.673348174636113
568,Monumentos,Nicolás Fernández de Moratín,C Huertas 69,"Elemento conmemorativo, Lápida",40.41312559151487,-3.695752407377925
569,Monumentos,Niños en el Colegio Rufino Blanco,CALLE GENERAL ALVAREZ DE CASTRO 46,Grupo Escultórico,40.43821274146004,-3.7024643736653
570,Monumentos,Niño con caracola,Pza Doctor Laguna 1,Estatua,40.41509901658597,-3.674391704595892
571,Monumentos,Niños con jarrón de Cibeles,Pza Cibeles N/A o N/D,Grupo Escultórico,40.41852100205188,-3.6929201051761145
572,Monumentos,Niños con jarrón en Atocha,Pza Emperador Carlos V N/A o N/D,Grupo Escultórico,40.40952490238327,-3.692262114741247
573,Monumentos,Noria de la Fábrica de Porcelana,Pº Duque de Fernán Núñez N/A o N/D,Edificación singular,40.41048685832594,-3.6835150707314974
574,Monumentos,Obelisco de la Fuente Castellana,No disponible,"Elemento conmemorativo, Lápida",40.39741403214865,-3.709059282759471
575,Monumentos,Obelisco del 2 de Mayo y Caídos por España,Pza Lealtad N/A o N/D,Grupo Escultórico,40.41638606030815,-3.692886415492097
576,Monumentos,Obelisco Laus Deo I,C Bustamante 2,"Elemento conmemorativo, Lápida",40.40075036962516,-3.6937159504448456
577,Monumentos,Obelisco Laus Deo II,Pza Ortega y Munilla N/A o N/D,"Elemento conmemorativo, Lápida",40.402818437965976,-3.710695113508179
578,Monumentos,Obelisco Pasillo Verde,C Santa María la Real de Nieva N/A o N/D,Elemento de ornamentación,40.40534276122408,-3.717698360968785
579,Monumentos,Obeliscos-Pirámides,Gta Pirámides N/A o N/D,"Elemento conmemorativo, Lápida",40.40078798352146,-3.714173657950205
580,Monumentos,Ocho columnas en los jardines de Cecilio Rodríguez,No disponible,Elemento de ornamentación,40.41440866570365,-3.678439388274668
581,Monumentos,Octaedro-Aire,GLORIETA SANTA MARIA DE LA CABEZA 1,Escultura conceptual o abstracta,40.40156101774533,-3.6994151560693727
582,Monumentos,Olivo en bronce,Pza Dalí N/A o N/D,Escultura conceptual o abstracta,40.4239561130967,-3.6741854493802326
583,Monumentos,Ordoño I,Pza Oriente N/A o N/D,Estatua,40.41877607529163,-3.711735269622898
584,Monumentos,Ordoño II,Pza Oriente N/A o N/D,Estatua,40.4188007781277,-3.712112723898967
585,Monumentos,Organización de Profesionales y Autónomos O.P.A.,Pº Prado N/A o N/D,"Elemento conmemorativo, Lápida",40.41447131248979,-3.693691833446018
586,Monumentos,Oso y Madroño,C Carmen N/A o N/D,Estatua,40.4169769190993,-3.7024635195003457
587,Monumentos,Osos sentados de la Casa de Fieras,No disponible,Grupo Escultórico,40.416117309704,-3.6789633851804338
588,Monumentos,Osos tumbados de la Casa de Fieras,No disponible,Grupo Escultórico,40.41485957593277,-3.678361410746561
589,Monumentos,Pablo Iglesias,AVENIDA PABLO IGLESIAS 2,Estatua,40.44267201887861,-3.7049212076489946
590,Monumentos,Pablo Luna,CALLE SANDOVAL 6,"Elemento conmemorativo, Lápida",40.43005925556401,-3.703569890388957
591,Monumentos,Pablo Montesino,C San Bernardo 70,"Elemento conmemorativo, Lápida",40.42695261025053,-3.706457580903199
592,Monumentos,Pablo Neruda,CALLE HILARION ESLAVA 2,"Elemento conmemorativo, Lápida",40.43229510997443,-3.716725940023887
593,Monumentos,Pablo Ruíz Picasso,C San Pedro Mártir 5,"Elemento conmemorativo, Lápida",40.41179852849839,-3.703647208381021
594,Monumentos,Pairón o Peirón,C María de Molina N/A o N/D,Elemento de ornamentación,40.43756151117445,-3.686135516616269
595,Monumentos,Palacio de Miraflores,Ctra San Jerónimo 15,"Elemento conmemorativo, Lápida",40.416637581805965,-3.698994630532768
596,Monumentos,Parque de la Arganzuela,No disponible,"Elemento conmemorativo, Lápida",40.39804831004214,-3.7084649687269695
597,Monumentos,Parque de las Naciones,CALLE GUZMAN EL BUENO 1,"Elemento conmemorativo, Lápida",40.430622853025255,-3.713639175881835
598,Monumentos,Partido Socialista Obrero Español,C Tetuán 12,"Elemento conmemorativo, Lápida",40.41717106066158,-3.704610778101525
599,Monumentos,Paso peatonal Puerta Sur,C Párroco Eusebio Cuenca N/A o N/D,"Puente, construcción civil",40.3932624855337,-3.686392639480447
600,Monumentos,Paulus,PLAZA ARMERIA 1,Estatua,40.41612895048959,-3.714484596702272
601,Monumentos,Pedestal del paseo de los Reyes,Pº República Argentina N/A o N/D,Elemento de ornamentación,40.4169982768399,-3.685396160529431
602,Monumentos,Pedro Antonio de Alarcón,C Atocha 94,"Elemento conmemorativo, Lápida",40.41067308208775,-3.696092511650535
603,Monumentos,Pedro Calderón de la Barca,Pza Santa Ana N/A o N/D,Estatua,40.41457895370551,-3.7012363500073433
604,Monumentos,Pedro Escartín,C Hermosilla 36,"Elemento conmemorativo, Lápida",40.42622674160034,-3.6833325135655297
605,Monumentos,Pedro Muñoz Seca,C Velázquez 57,"Elemento conmemorativo, Lápida",40.428700173311285,-3.6840177344229774
606,Monumentos,Pedro Sainz de Baranda y Gorriti,CALLE ALCALDE SAINZ DE BARANDA 2,"Elemento conmemorativo, Lápida",40.41689333149641,-3.677941244130146
607,Monumentos,Pedro Vargas,Pº Panamá N/A o N/D,Estatua,40.41791215470997,-3.680148357877939
608,Monumentos,"Pelayo, Rey de Asturias",Pza Oriente N/A o N/D,Estatua,40.4177592853531,-3.712997564413368
609,Monumentos,Pepín Fernández,Pza Carmen N/A o N/D,Estatua,40.418961556184286,-3.7035096605425206
610,Monumentos,Petrus,Pza Armería N/A o N/D,Estatua,40.41614233639251,-3.71369949296833
611,Monumentos,Pinturas Mingote,C de la Sal N/A o N/D,Elemento de ornamentación,40.41570111691805,-3.706328099231932
612,Monumentos,Pinturas murales Pasaje Pleyel,C Mayor 6,Elemento de ornamentación,40.416734485984456,-3.705289866921036
613,Monumentos,Pirámides del parque Peñuelas,Pº Esperanza N/A o N/D,Elemento de ornamentación,40.40036223759613,-3.7042705190729226
614,Monumentos,Placa informativa Museo al Aire Libre,PASEO CASTELLANA 41,"Elemento conmemorativo, Lápida",40.43491329886507,-3.689441908502898
615,Monumentos,Placa Matadero en  Arganzuela,No disponible,"Elemento conmemorativo, Lápida",40.39394828357778,-3.701222595591213
616,Monumentos,Placa Museo al Aire Libre,Pº Castellana 41,"Elemento conmemorativo, Lápida",40.43316359441658,-3.687906445348205
617,Monumentos,Planta cimientos Convento Trinitarios,Pza Platería de Martínez N/A o N/D,"Elemento conmemorativo, Lápida",40.412714585135895,-3.69368557943678
618,Monumentos,Planta cimientos Fábrica Platerías,Pza Platería de Martínez 1,"Elemento conmemorativo, Lápida",40.4125617942222,-3.693625079290971
619,Monumentos,Planta de la torre de la iglesia de Santa Cruz,Pza Santa Cruz 1,"Elemento conmemorativo, Lápida",40.4149218419544,-3.705589178873041
620,Monumentos,Plaza de Oriente,Pza Oriente 1,"Elemento conmemorativo, Lápida",40.41762321090427,-3.7116877592455
621,Monumentos,Plaza-Escultura,Pº Castellana 41,Escultura conceptual o abstracta,40.4327281374629,-3.686899878767384
622,Monumentos,Plácido Domingo,C Ibiza 34,"Elemento conmemorativo, Lápida",40.41803614022019,-3.6743620955344447
623,Monumentos,Premio Europa Nostra 2003,C Huertas 47,"Elemento conmemorativo, Lápida",40.41330674793902,-3.697086131731717
624,Monumentos,Primera Piedra del Banco España,Pº Prado 2,"Elemento conmemorativo, Lápida",40.41863153756876,-3.6940174571033166
625,Monumentos,Proalí,PASEO CASTELLANA 41,Escultura conceptual o abstracta,40.43491329886507,-3.689441908502898
626,Monumentos,Protección a la Infancia,Pza Campillo del Mundo Nuevo N/A o N/D,Grupo Escultórico,40.40662547051706,-3.7083781188437897
627,Monumentos,Proyecto para un monumento IV B,Pº Castellana 41,Escultura conceptual o abstracta,40.43313015526773,-3.687469881134483
628,Monumentos,Puente de Segovia,No disponible Puente de Segovia N/A o N/D,"Puente, construcción civil",40.41395000086607,-3.722905128200874
629,Monumentos,Puerta Cerrada,Pza Puerta Cerrada N/A o N/D,"Fuente, Estanque, Lámina de agua",40.41381061916412,-3.709042785225804
630,Monumentos,Puerta de Alcalá,Pza Independencia N/A o N/D,"Puerta, Arco triunfal",40.42002353772616,-3.6887273721734393
631,Monumentos,Puerta de Dante del Retiro,Pza Menéndez Pelayo N/A o N/D,"Puerta, Arco triunfal",40.40946692380853,-3.677717975665517
632,Monumentos,Puerta de España del Retiro,C Alfonso XII N/A o N/D,"Puerta, Arco triunfal",40.41668173613076,-3.688634359907387
633,Monumentos,Puerta de Felipe IV del Retiro,C Alfonso XII 3,"Puerta, Arco triunfal",40.41528506739523,-3.6886790540386696
634,Monumentos,Puerta de Granada del Retiro,Pza Menéndez Pelayo N/A o N/D,"Puerta, Arco triunfal",40.41231852130818,-3.676909763532325
635,Monumentos,Puerta de Hernani del Retiro,C Alcalá 62,"Puerta, Arco triunfal",40.42037213070657,-3.686161231509244
636,Monumentos,Puerta de Herrero Palacios del Retiro,Pza Menéndez Pelayo N/A o N/D,"Puerta, Arco triunfal",40.41480004144613,-3.677759694915111
637,Monumentos,Puerta de la América Española del Retiro,Pza Menéndez Pelayo 10,"Puerta, Arco triunfal",40.419753564834025,-3.679542165511024
638,Monumentos,Puerta de la Independencia del Retiro,Pza Independencia N/A o N/D,"Puerta, Arco triunfal",40.419640944261374,-3.6879219226850832
639,Monumentos,Puerta de la Reina Mercedes del Retiro,Pza Menéndez Pelayo N/A o N/D,"Puerta, Arco triunfal",40.41825205152337,-3.6790319941390175
640,Monumentos,Puerta de los Cuarteles de Daoiz y Velarde,Avda Ciudad de Barcelona 164,"Puerta, Arco triunfal",40.40229882016412,-3.6771864890439137
641,Monumentos,Puerta de los jardines del Arquitecto Herrero Palacios,Pº Duque de Fernán Núñez N/A o N/D,"Puerta, Arco triunfal",40.416464763984216,-3.67962694520718
642,Monumentos,Puerta de Madrid del Retiro,C O'Donnell N/A o N/D,"Puerta, Arco triunfal",40.42110925617198,-3.681866201432033
643,Monumentos,Puerta de Murillo del Retiro,C Alfonso XII N/A o N/D,"Puerta, Arco triunfal",40.412799071143695,-3.6885947775993184
644,Monumentos,Puerta de O´Donnell del Retiro,C O'Donnell N/A o N/D,"Puerta, Arco triunfal",40.42143455210893,-3.680172045208873
645,Monumentos,Puerta de Sainz de Baranda del Retiro,Pza Menéndez Pelayo N/A o N/D,"Puerta, Arco triunfal",40.41712840895454,-3.6786081512302182
646,Monumentos,Puerta de Toledo,Gta Puerta de Toledo N/A o N/D,"Puerta, Arco triunfal",40.40671367192122,-3.711619974229129
